Player,Squad,Pos_Category,GA_per90,Prog_Total,CrdY_per90,Min,Reliability_Score,Discipline_Score,Player_Rating
Selim Amallah,Valladolid,Midfielder,0.26143790849673204,108,0.39215686274509803,1376,40.23391812865497,42.15686274509803,23.4
Kelvin Amian,Nantes,Defender,0.04149377593360996,182,0.20746887966804978,2165,63.30409356725146,69.39834024896265,57.1
Michael Amir Murillo,Marseille,Defender,0.14760147601476015,283,0.11070110701107011,2437,71.25730994152046,83.67158671586716,67.9
Nadiem Amiri,Mainz 05,Midfielder,0.43636363636363634,318,0.32727272727272727,2473,72.30994152046783,51.727272727272734,40.5
Mohamed Amoura,Wolfsburg,Attacker,0.6934306569343066,386,0.21897810218978103,2467,72.13450292397661,67.7007299270073,50.3
Joachim Andersen,Fulham,Defender,0.0,130,0.20905923344947736,2583,75.52631578947368,69.1637630662021,61.8
Elliot Anderson,Nott'ham Forest,Midfielder,0.264026402640264,289,0.33003300330033003,2728,79.76608187134502,51.32013201320132,35.4
André,Wolves,Midfielder,0.0,130,0.2545454545454545,2472,72.28070175438597,62.45454545454545,25.4
Benjamin André,Lille,Midfielder,0.10033444816053512,310,0.4013377926421405,2692,78.71345029239765,40.80267558528428,30.0
Marcos André,Valladolid,Attacker,0.2272727272727273,66,0.3787878787878788,1188,34.73684210526316,44.128787878787875,17.9
Robert Andrich,Leverkusen,Midfielder,0.2247191011235955,90,0.3932584269662921,1598,46.72514619883041,41.99438202247191,21.7
Angeliño,Roma,Defender,0.08498583569405099,410,0.028328611898017,3177,92.89473684210526,95.82152974504248,85.6
Faustino Anjorin,Empoli,Midfielder,0.4032258064516129,118,0.24193548387096772,1114,32.57309941520467,64.31451612903226,33.4
Waldemar Anton,Dortmund,Defender,0.18433179723502305,177,0.18433179723502305,1949,56.98830409356725,72.81105990783409,54.8
Antoniu,Espanyol,Attacker,0.08771929824561403,126,0.2631578947368421,1022,29.88304093567252,61.184210526315795,16.7
Antony,Betis,Attacker,0.4635761589403974,318,0.13245033112582782,1362,39.824561403508774,80.4635761589404,40.8
Anuar,Valladolid,Attacker,0.10471204188481674,122,0.36649214659685864,1720,50.29239766081871,45.94240837696335,15.0
Dennis Appiah,Saint-Étienne,Defender,0.0423728813559322,269,0.0847457627118644,2128,62.22222222222222,87.5,64.2
Mauro Arambarri,Getafe,Midfielder,0.33783783783783783,147,0.33783783783783783,2661,77.80701754385964,50.168918918918926,29.3
Jon Aramburu,Real Sociedad,Defender,0.07326007326007326,176,0.29304029304029305,2460,71.9298245614035,56.776556776556774,57.5
Cameron Archer,Southampton,Attacker,0.125,102,0.0,1441,42.134502923976605,100.0,23.3
Carlens Arcus,Angers,Defender,0.04405286343612335,188,0.13215859030837004,2047,59.853801169590646,80.50660792951541,58.9
Alphonse Areola,West Ham,Goalkeeper,0.0,1,0.0,2260,66.08187134502924,100.0,76.3
Jesús Areso,Osasuna,Defender,0.08771929824561403,410,0.2631578947368421,3079,90.02923976608187,61.184210526315795,73.8
Joe Aribo,Southampton,Midfielder,0.13392857142857142,176,0.044642857142857144,2013,58.85964912280702,93.41517857142857,39.7
Adam Armstrong,Southampton,Attacker,0.28776978417266186,125,0.28776978417266186,1248,36.49122807017544,57.55395683453237,24.2
Hákon Arnar Haraldsson,Lille,Attacker,0.41025641025641024,297,0.15384615384615385,1755,51.31578947368421,77.30769230769229,37.6
Maximilian Arnold,Wolfsburg,Midfielder,0.3053435114503817,153,0.26717557251908397,2356,68.88888888888889,60.591603053435115,32.1
Kepa Arrizabalaga,Bournemouth,Goalkeeper,0.0,2,0.0967741935483871,2790,81.57894736842105,85.72580645161291,82.8
Takuma Asano,Mallorca,Attacker,0.25641025641025644,124,0.0,1054,30.818713450292396,100.0,29.3
Raúl Asencio,Real Madrid,Defender,0.05376344086021505,36,0.16129032258064516,1670,48.83040935672515,76.20967741935483,48.2
Kristjan Asllani,Inter,Midfielder,0.36363636363636365,82,0.36363636363636365,988,28.888888888888886,46.36363636363636,25.4
Iago Aspas,Celta Vigo,Attacker,0.7731958762886598,325,0.30927835051546393,1745,51.02339181286549,54.38144329896907,49.6
Yaser Asprilla,Girona,Attacker,0.25641025641025644,289,0.12820512820512822,1405,41.08187134502924,81.08974358974359,31.7
Lorenz Assignon,Rennes,Midfielder,0.26717557251908397,420,0.3435114503816794,2357,68.91812865497076,49.33206106870228,41.6
Valentin Atangana Edoa,Reims,Midfielder,0.031545741324921134,172,0.22082018927444796,2854,83.45029239766082,67.42902208201893,29.6
Arthur Atta,Udinese,Attacker,0.07194244604316546,165,0.3597122302158273,1251,36.578947368421055,46.94244604316546,15.2
Noah Atubolu,Freiburg,Goalkeeper,0.0,2,0.078125,2307,67.45614035087719,88.4765625,73.8
Tommaso Augello,Cagliari,Defender,0.23255813953488372,289,0.09966777408637874,2713,79.32748538011695,85.29900332225914,72.6
Carlos Augusto,Inter,Defender,0.26595744680851063,194,0.05319148936170213,1691,49.44444444444444,92.15425531914893,57.3
Yann Aurel Bisseck,Inter,Defender,0.27322404371584696,169,0.2185792349726776,1643,48.04093567251462,67.75956284153006,48.6
Yasin Ayari,Brighton,Midfielder,0.13761467889908258,166,0.13761467889908258,1965,57.45614035087719,79.70183486238531,35.1
André Ayew,Le Havre,Attacker,0.3105590062111801,66,0.12422360248447203,1453,42.485380116959064,81.67701863354037,26.9
Jordan Ayew,Leicester City,Attacker,0.27472527472527475,181,0.27472527472527475,1638,47.89473684210526,59.478021978021964,25.7
Neil El Aynaoui,Lens,Midfielder,0.5113636363636364,115,0.22727272727272727,1588,46.4327485380117,66.47727272727273,36.1
Shavy Babicka,Toulouse,Attacker,0.4545454545454546,179,0.15151515151515152,1186,34.67836257309941,77.65151515151516,35.6
Loïc Bade,Sevilla,Defender,0.06711409395973154,79,0.2348993288590604,2686,78.53801169590643,65.35234899328859,60.9
Milan Badelj,Genoa,Midfielder,0.06097560975609757,105,0.12195121951219513,1472,43.04093567251462,82.01219512195121,31.2
Alex Baena,Villarreal,Attacker,0.5555555555555556,434,0.3125,2595,75.87719298245614,53.90625,44.3
Leon Bailey,Aston Villa,Attacker,0.2362204724409449,214,0.2362204724409449,1139,33.30409356725146,65.15748031496062,26.1
Theo Bair,Auxerre,Attacker,0.28846153846153844,73,0.09615384615384615,939,27.456140350877195,85.8173076923077,26.8
Stefan Bajcetic,Las Palmas,Midfielder,0.09259259259259259,56,0.37037037037037035,969,28.333333333333332,45.370370370370374,18.3
Mitchel Bakker,Lille,Attacker,0.3937007874015748,220,0.2362204724409449,1139,33.30409356725146,65.15748031496062,32.6
Ridle Baku,Wolfsburg,Attacker,0.23076923076923078,138,0.15384615384615385,1170,34.21052631578947,77.30769230769229,25.3
Ridle Baku,RB Leipzig,Midfielder,0.35211267605633806,159,0.07042253521126761,1275,37.280701754385966,89.61267605633803,42.1
Dilane Bakwa,Strasbourg,Midfielder,0.5054151624548736,485,0.1444043321299639,2497,73.01169590643275,78.70036101083032,58.5
Alejandro Balde,Barcelona,Defender,0.15748031496062992,446,0.07874015748031496,2284,66.78362573099416,88.38582677165354,71.3
Carlos Baleba,Brighton,Midfielder,0.13513513513513511,190,0.27027027027027023,2661,77.80701754385964,60.13513513513513,30.4
Leonardo Balerdi,Marseille,Defender,0.0,123,0.3557312252964427,2273,66.46198830409357,47.5296442687747,50.6
Iván Balliu,Rayo Vallecano,Defender,0.0,75,0.22556390977443608,1200,35.08771929824561,66.72932330827068,39.5
Botond Balogh,Parma,Defender,0.043859649122807015,45,0.21929824561403508,2053,60.02923976608188,67.65350877192982,51.5
Abdoulaye Bamba,Angers,Defender,0.0,20,0.11904761904761904,1510,44.15204678362573,82.44047619047619,47.3
Mattia Bani,Genoa,Defender,0.0,34,0.17964071856287425,1507,44.06432748538012,73.50299401197604,44.9
Valentín Barco,Strasbourg,Midfielder,0.15503875968992248,139,0.15503875968992248,1157,33.83040935672514,77.13178294573643,33.3
